Date,ID,Gender,Age,Income,Context,Impression Cost
2015-01-01 12:00:02,4620864431353617408,Male,25-34,High,Blog,0.001713
2015-01-01 12:00:04,3365479180556158976,Female,35-44,Medium,News,0.002762
2015-01-01 12:00:05,5239785226806161408,Female,>54,Medium,Shopping,0.001632
2015-01-01 12:00:06,8530398223564990464,Female,<25,Medium,Social Media,0.000000
2015-01-01 12:00:10,399593948382193664,Male,<25,Low,Social Media,0.002064
2015-01-01 12:00:11,5694894591373382656,Female,<25,Medium,Shopping,0.000000
2015-01-01 12:00:13,1804784971213607936,Female,>54,Medium,News,0.001954
2015-01-01 12:00:13,4350042328721430528,Female,>54,Low,News,0.002172
2015-01-01 12:00:14,4029628267337302016,Female,25-34,Medium,News,0.000000
2015-01-01 12:00:18,4042695101021739008,Female,45-54,Low,Social Media,0.002265
2015-01-01 12:00:20,526798779215907840,Female,>54,Medium,Shopping,0.002635
2015-01-01 12:00:22,273445315714970624,Female,45-54,Medium,Blog,0.000000
2015-01-01 12:00:23,2329969091165122560,Female,25-34,Low,Shopping,0.002755
2015-01-01 12:00:23,2685156443013557248,Female,45-54,Medium,Blog,0.002196
2015-01-01 12:00:24,2647683543576804352,Female,<25,Low,Shopping,0.002704
2015-01-01 12:00:24,8307017307393685504,Female,<25,Medium,Shopping,0.000000
2015-01-01 12:00:25,8988131206684964864,Male,25-34,Medium,News,0.001544
2015-01-01 12:00:26,5242265658534560768,Male,45-54,Medium,Social Media,0.002314
2015-01-01 12:00:28,8213940264363045888,Female,>54,High,Social Media,0.001900
2015-01-01 12:00:30,7393478991700484096,Female,25-34,High,News,0.001729
2015-01-01 12:00:32,286246070344851456,Female,35-44,High,Social Media,0.000000
2015-01-01 12:00:34,6798422954630044672,Female,25-34,Medium,News,0.000000
2015-01-01 12:00:35,5789343882470104064,Female,<25,High,Blog,0.002759
2015-01-01 12:00:37,770400661095493632,Female,<25,Medium,News,0.000000
2015-01-01 12:00:38,4430801931637240832,Female,35-44,Medium,Shopping,0.000000
2015-01-01 12:00:39,1962917461792028672,Male,>54,High,Shopping,0.001714
2015-01-01 12:00:40,2738670803147678720,Male,35-44,Medium,Blog,0.000000
2015-01-01 12:00:43,5517764124505708544,Female,25-34,Low,News,0.000000
2015-01-01 12:00:44,6998542006371500032,Male,35-44,Low,Social Media,0.000000
2015-01-01 12:00:44,5806034710106619904,Female,35-44,Low,Social Media,0.002109
2015-01-01 12:00:45,7903257931776160768,Female,45-54,Medium,Social Media,0.000000
2015-01-01 12:00:45,6299367539013098496,Female,25-34,Low,Social Media,0.002899
2015-01-01 12:00:46,8013919447841666048,Male,<25,Medium,News,0.002025
2015-01-01 12:00:50,3043780919371133952,Male,25-34,Medium,Blog,0.002279
2015-01-01 12:00:53,5296377634686410752,Female,<25,Low,Blog,0.000000
2015-01-01 12:00:54,652057158199319552,Male,35-44,High,Shopping,0.001350
2015-01-01 12:00:54,5515164853005508608,Male,35-44,Medium,Blog,0.002702
2015-01-01 12:00:55,544128967388940288,Female,<25,Medium,News,0.000000
2015-01-01 12:00:57,8147334407641911296,Female,>54,Low,Shopping,0.001800
2015-01-01 12:01:02,8071352640186215424,Female,45-54,Low,Blog,0.001414
2015-01-01 12:01:02,5589255912725967872,Female,>54,Medium,Shopping,0.000000
2015-01-01 12:01:08,337602545666647040,Female,<25,Medium,Shopping,0.000000
2015-01-01 12:01:10,195473706896224256,Male,>54,Medium,Shopping,0.002013
2015-01-01 12:01:12,4495064594124015616,Male,45-54,Medium,Social Media,0.000000
2015-01-01 12:01:13,5230153892129234944,Female,25-34,Medium,News,0.002765
2015-01-01 12:01:14,8324600788971414528,Male,35-44,High,Social Media,0.000000
2015-01-01 12:01:14,3126694543524312064,Female,45-54,Low,Shopping,0.002858
2015-01-01 12:01:15,8655725103790048256,Female,25-34,High,Blog,0.001521
2015-01-01 12:01:18,8401106139065869312,Female,25-34,Medium,Social Media,0.002272
2015-01-01 12:01:18,8895519749317550080,Female,25-34,High,Shopping,0.000000
2015-01-01 12:01:18,5819254586130495488,Male,45-54,Low,Shopping,0.000000
2015-01-01 12:01:20,8446836234130009088,Female,>54,Low,Social Media,0.001515
2015-01-01 12:01:21,6152229510254613504,Male,25-34,Medium,Blog,0.000000
